Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler
"Nerviksdalen 11, 7300 Orkanger",1890000,55992,1945992,1580,9653,Leilighet,Eier (Selveier),2,95 m²,153 m²,2,1908,,Sentral og koselig 4-roms leilighet med altan og stort loft,Propr.no
"Søster Mathildes gate 42, 1473 Lørenskog",3290000,90992,3380992,2243,0,Leilighet,Eier (Selveier),1,43 m²,44 m²,3,2021,,Splitter ny 2-roms m/balkong. Sentralt. 5 års garanti. Klar for overtakelse!,Propr.no
"Skolegata 13B, 8624 Mo i Rana",2200000,151206,5254,2356460,4933,Leilighet,Andel,1,55.5 m²,55.5 m²,4,1954,G - rød,Delikat leilighet i øverste etasje|Lang solgang|Lav fellesgjeld|Fin beliggenhet i feltet|Byens mest populære BRL,Rede Eiendomsmegling AS
"Skjervgata 37 B, 8656 Mosjøen",1550000,1247606,5254,2802860,6253,Leilighet,Andel,1,60 m²,60 m²,2.0,2008,D - lysegrønn,SENTRUM: 2-roms andelsleilighet i 2.etg. Terrasse. Heis. Parkeringskjeller. Sentral beliggenhet ved Sjøsiden senter!,Rede Eiendomsmegling AS
"Waldemar Thranes gate 38A, 0171 Oslo",5950000,113000,152912,6215912,4359,Leilighet,Eier (Selveier),2,62 m²,62 m²,5.0,1901,G - oransje,Romslig 3-roms loftsleilighet med takterrasse - Rålekkert bad fra 2019 - Peis - Svært god takhøyde - Sentral beliggenhet,Samsolgt by DNB Eiendom
"Rødhettes vei 9C, 1388 Borgen",4400000,111342,4511342,3300,0,Leilighet,Eier (Selveier),2,72 m²,75 m²,1,1989,D - rød,Lys 3-roms endeleilighet med flott utsikt |Romslig terrasse| Trappefri adkomst| Garasjeplass | For de over 50 år|,Samsolgt by DNB Eiendom
"Asperudlia 79, 1258 Oslo",3000000,173474,8582,3182056,2700,Leilighet,Andel,1,59 m²,59 m²,1,1982,E - mørkegrønn,Lekker 2-roms med panoramautsikt | Nytt og lekkert bad | Vestvendt balkong | Markterrasse | Kort vei til kollektivtransp,Samsolgt by DNB Eiendom
"Trondheimsveien 6A, 0560 Oslo",3050000,77592,3127592,2036,0,Leilighet,Eier (Selveier),1,27 m²,27 m²,4,2009,C - mørkegrønn,Perfekt førstegangskjøp | 4. etg med heis | Balkong | Romslig bad og kjøkken | Lave felleskost | Sentralt på Løkka!,Samsolgt by DNB Eiendom
"Ole Vigs gate 19A, 0366 Oslo",4950000,27577,133439,5111016,1981,Leilighet,Eier (Selveier),1,47 m²,47 m²,4,1917,G - rød,"Lys, luftig og pen 2-roms selveier i klassisk gård | God takhøyde opptil 2,91m | Store vinduer | Peis | Lave felleskost.",Schala & Partners Carl Berner
"Siebkes gate 4D, 0562 Oslo",2990000,125929,15759,3131688,2541,Leilighet,Andel,1,27 m²,27 m²,3,1894,G - rød,"Lys, sjarmerende og arealeffektiv 1(2)-r i populære Gråbeinskvartalet | Bad og rør 2015 | Vinduer 2019 | Flott gårdsrom",Schala & Partners Carl Berner
"Trondheimsveien 14C, 0560 Oslo",2980000,88030,85719,3153749,3039,Leilighet,Eier (Selveier),1,37 m²,37 m²,4,1877,G - rød,"Klassisk 2-r vendt mot rolig, indre gård | God takhøyde | Oppussingsbehov | Perfekt for utleie. eller førstegangskjøp!",Schala & Partners Carl Berner
"Sofienberggata 55D, 0563 Oslo",5800000,249353,15459,6064812,6345,Leilighet,Andel,3,89 m²,89 m²,4,1939,G - mørkegrønn,"Gjennomgående 3(4)-r toppleilighet med vestvendt balkong | Rolig og skjermet i indre gård | Vv, fyring, fiber",Schala & Partners Carl Berner
"Lyngåsen 68, 1405 Langhus",3600000,221196,8009,3829205,4157,Leilighet,Andel,3,84 m²,84 m²,1985,E - oransje,,Gjennomgående 4-roms leilighet med vestvendt balkong | Garasjeplass | God beliggenhet i familievennlig boligområde,Schala & Partners Carl Berner
"Dronningens gate 12, 0152 Oslo",4590000,1631,124789,4716420,3642,Leilighet,Eier (Selveier),1,52 m²,55 m²,3,1939,G - mørkegrønn,Lys og tiltalende 2-roms selveierleilighet m/ heis og fransk balkong | Fjernvarme og varmtv. inkl. | Utleie tillatt,Schala & Partners Grünerløkka
"Dovregata 5A, 0170 Oslo",4000000,70574,8009,4078583,2919,Leilighet,Andel,1,44 m²,44 m²,3,1896,F - oransje,Klassisk og gjennomgående 2-roms med 3 meter takhøyde | Sydvendt balkong | Vedovn | Lave fellesutgifter,Schala & Partners Grünerløkka
"Fallanveien 30 A, 0495 Oslo",3500000,96519,3596519,3103,0,Leilighet,Eier (Selveier),1,50 m²,50 m²,2,1973,F - rød,Lys 2-roms selveiet toppleil med moderniseringsbehov | 11 m² sørvestvendt terrasse | Garasjeplass | Varmtv./bredbånd ink,Schala & Partners Grünerløkka
"Seilduksgata 28B, 0553 Oslo",5400000,114763,8009,5522772,3261,Leilighet,Andel,2,60 m²,60 m²,3,1897,F - oransje,"Velholdt, lys og gjennomgående 3-roms. God planløsning og takhøyde. Peis, vestvendt balkong og ingen forkjøpsrett",Schala & Partners Grünerløkka
"Mogata 2A, 0462 Oslo",5250000,358577,16003,5624580,4133,Leilighet,Andel,3,72 m²,72 m²,1948,G - rød,,Flott 3-roms hjørneleilighet med direkte adkomst til markterrasse | Bad 2008 og kjøkken 2014 | Tregulv og teglstein,Schala & Partners Grünerløkka
"Mariboes gate 14F, 0179 Oslo",4400000,8009,4408009,1728,0,Leilighet,Andel,1,38 m²,38 m²,4,2020,B - mørkegrønn,Strøken og helt ny 2-roms fra 2020! Balkong & fransk balkong | Sauna og badestamp på takterrasse | Heis | Fjernvarme!,Schala & Partners Grünerløkka
"Odvar Solbergs vei 200, 0973 Oslo",2450000,578882,16253,3045135,5352,Leilighet,Andel,3,86 m²,102 m²,1973,G - rød,,Romslig og lys 4-roms I Solrik balkong I Nærhet til marka I Garasjeplass m. elbiI-lader I Gode oppbevaringsmuligheter,Schala & Partners Kalbakken
"Lutvannsveien 12, 0676 Oslo",4085000,111968,113919,4310887,5129,Leilighet,Eier (Selveier),3,84 m²,94 m²,4,1974,G - mørkegrønn,Rålekker 4-roms med stor balkong og fantastisk utsikt | Garasje | Lekkert bad 2020 | Nye flater | Fyring/varmtvann inkl.,Schala & Partners Kalbakken
"Enebakkveien 164, 0680 Oslo",2990000,99339,15503,3104842,2908,Leilighet,Andel,1,31 m²,33 m²,4,1960,B - gul,"Lys og hyggelig 1(2)-R I Solrik vestvendt balkong på 7,3m² med utsikt I Lave felleskost. inkl. ""alt"" I Heis I P-plass*",Schala & Partners Sagene
"Firkløverveien 7, 0377 Oslo",7890000,208792,8098792,3300,0,Leilighet,Eier (Selveier),3,152 m²,152 m²,1933,E - oransje,,Innholdsrik leilighet o/2 plan på 152 m2. Mulighet for flere soverom. Potensielt godt utleieobjekt. Solrik beliggenhet,Sem & Johnsen
"Haldenveien 94, 1367 Snarøya",24800000,631542,25431542,2004,3988,Leilighet,Eier (Selveier),3,274 m²,297 m²,1,1968,,"Stor, sjønær selveierleil. med fantastisk sjøutsikt - Morgenbadet rett ved - 2 Peiser - 1 garasjeplass/1 utv.p.pl.",Sem & Johnsen
"Hølondvegen 2057, 7212 Korsvegen",740000,20792,760792,1300,3054,Leilighet,Eier (Selveier),39 m²,39 m²,1,1930,F - oransje,,"Korsvegen - 2 roms selveier - stort åpent kjøkken og stue, store boder",Storheia Eiendomsmegling AS
"Langflåtveien 8, 4017 Stavanger",1980000,497583,12726,2490309,6892,Leilighet,Andel,1,57 m²,57 m²,4,2003,E - rød,Utmerket leilighet i 4.etg m/flotte solforhold | Vestvendt balkong | Vannbåren varme | Heis | Parkering i lukket anlegg,Verdi Eiendomsmegling AS
"Leitesvingen 14, 4322 Sandnes",3150000,87492,3237492,2736,7060,Leilighet,Eier (Selveier),2,72 m²,76 m²,3,2011,C - mørkegrønn,Ganddal - Lys tiltalende 3-roms selveierleilighet i toppetasje med stor uteplass,Verdi Eiendomsmegling Sandnes AS
"Skjenbrekken 20, 5184 Olsvik",2490000,312111,8017,2810128,6165,Leilighet,Andel,3,91 m²,91 m²,4,1980,F - rød,Stilsikker 4-roms leilighet med moderne kvaliteter og solrik terrasse. Garasjeplass m/elbil lader. Varmtvann inkl. i fk,W Eiendomsmegling Bergen Sentrum As
"SKIPARVIKLIA 11, 5221 Nesttun",5500000,24000,5524000,2500,0,Leilighet,Eier (Selveier),2,69 m²,72 m²,3,2021,A,Ny Leilighet ved Nordåsvannet med solrik sydvest beliggenhet,
"Bjørnsons gate 28 B, 5059 Bergen",890000,549927,12744,1452671,4343,Leilighet,Aksje,18 m²,18 m²,4,1933,477 m² (eiet),,"Kronstad - Lekker, nyoppusset studioleilighet. Rett ved HVL, butikk og Bybanen.",
"Bjørkelivegen 11A, 4708 Vennesla",1995000,58312,2053312,600,10027,Leilighet,Eier (Selveier),2,63 m²,68 m²,1,2014,,Vennesla/Vikeland - Flott 3-roms endeleilighet - solrikt uteområde - Carport - Barnevennlig,
"Olav Trygvasons vei 6A, 4633 Kristiansand S",1850000,554165,15353,2419518,6792,Leilighet,Andel,2,75 m²,98 m²,4,1966,G - rød,Flott 3- roms toppleilighet med innglasset balkong og god standard I Nydelig fjordutsikt I Bynær beliggenhet,
"Kalbakkveien 5C, 0953 Oslo",3480000,139000,15554,3634554,3981,Leilighet,Andel,2,64 m²,75 m²,1,1955,E - lysegrønn,"Innflytningsklar 3 roms i høy 1. etasje. 9 kvm innglasset balkong. Fyring inkl. Kort vei til t-bane, buss og butikker.",
"Bevervegen 20, 4707 Vennesla",1790000,52622,1842622,1400,7650,Leilighet,Eier (Selveier),2,63 m²,66 m²,3,2009,,Heptekjerr | Smakfull 3-roms toppleilighet | Vestvendt balkong med kveldssol | Fast p-plass og sportsbod,
"Elveveien 10 B, 8009 Bodø",3700000,93670,3793670,1217,12990,Leilighet,Eier (Selveier),3,88 m²,93 m²,3,1958,G - oransje,Innbydende og stilren 4-roms toppleilighet med beliggenhet i populære Rønvika!,
"Kristian Bakkens veg 15 A, 2316 Hamar",1850000,330000,15554,2195554,4524,Leilighet,Andel,1,55 m²,71 m²,3,1973,D - lysegrønn,"Lys og trivelig 2-roms i 3.etasje med sydvestvendt innglasset balkong, heis og garasje. A-konto fyring inkl.",
"Villaveien 20A, 1385 Asker",6750000,170092,6920092,5102,0,Leilighet,Eier (Selveier),3,124 m²,140 m²,2,1966,D - mørkegrønn,"Rålekker rekkehusleil. på to plan fra 2017| God takhøyde | Vestvendt terrasse | Privat hage | 3 sov, 2 bad | 2 p-plasser",
"Uranus vei 6B, 3226 Sandefjord",2490000,63592,2553592,1000,6971,Leilighet,Eier (Selveier),2,69 m²,69 m²,1991,E - rød,,Flytt rett inn i en lekker og oppgradert leilighet på bakkeplan med garasje. Nytt bad!,
"Myrdalskogen 5, 5118 Ulset",2600000,551512,1632,3153144,6063,Leilighet,Andel,3,84 m²,84 m²,3,1972,E - rød,Lys og fin 4-roms leilighet med vestvendt beliggenhet. Nytt bad/vaskerom i 2021. Butikk og buss like ved.,
"Trondheimsveien 197C, 0570 Oslo",3600000,91342,3691342,2343,0,Leilighet,Eier (Selveier),1,49 m²,49 m²,3,2003,D - rød,Selveid 2-roms hjørneleilighet i luftige 3. etg i Sinsen Panorama! Heis - Garasjeleie - Felles takterrasse- Utleie,
"Maren Stagrims vei 5C, 1930 Aurskog",2390000,496,61092,2451588,950,Leilighet,Eier (Selveier),2,67 m²,70 m²,2,2006,C - oransje,"Pen 3-roms selveierleilighet i andre etasje på veletablert boligfelt. Sydvestvendt balkong, garasje og parkeringsplass!",
"Sandskjellvegen 19, 9104 Kvaløya",3990000,100920,4090920,1400,13126,Leilighet,Eier (Selveier),2,63 m²,69 m²,1,2016,B - rød,"Lekker og attraktiv 3-roms fra 2016 med carport, terrasse og walk-in garderobe",
"Harald Sæveruds veg 82V, 5237 Rådal",3500000,100170,3600170,2000,9392,Leilighet,Eier (Selveier),2,73 m²,78 m²,2,2005,E - mørkegrønn,Råstølen - Flott 3-roms eierleilighet med solrik veranda og fast parkeringsplass. Like ved Bybanen.,
"Kristoffer Robins vei 52, 0978 Oslo",3890000,221000,8482,4119482,5059,Leilighet,Andel,3,85 m²,93 m²,4,1968,,Lekker og strøken 4-roms topp- og endeleilighet ~ fyring inkl ~ Barnevennlig ~ Parkeringsplass,
"Prestelandet 20, 1632 Gamle Fredrikstad",1800000,175000,15554,1990554,3472,Leilighet,Andel,1,45 m²,55 m²,1967,E - rød,,2-roms leilighet i 1.etg med nesten trappefri adkomst og innglasset balkong på ca 10 m2. Kort vei til Gamlebyen.,
"Kongens gate 10, 3611 Kongsberg",2100000,53842,2153842,1583,1489,Leilighet,Eier (Selveier),1,52 m²,54 m²,5,1985,E - rød,"Kongsberg Sentrum - Koselig 2-roms leilighet i 5.etg. med balkong, heis og flott utsikt.",
"Prahms gate 33, 3613 Kongsberg",1800000,46342,1846342,801,5117,Leilighet,Eier (Selveier),1,38 m²,38 m²,1,2006,E - rød,Raumyr - Lys og tiltalende 2-roms leilighet i 1.etg. med gangavstand til sentrum.,
"Lilleakerveien 27, 0283 Oslo",3280000,124000,86442,3490442,2786,Leilighet,Eier (Selveier),1,36 m²,36 m²,2,1976,F - rød,Supert førstegangskjøp/pendler/utleieleilighet | Flott og arealeffektiv 1-roms|Vestvendt solrik balkong |Alkove|Sentralt,
"Høiendal 7, 1617 Fredrikstad",2400000,210000,15554,2625554,5005,Leilighet,Andel,3,82 m²,82 m²,3,1965,F - lysegrønn,Romslig og innflytnings klar leilighet | veranda | 3 soverom | nærhet til idylliske Fredrikstad marka m.m. |,
"Østerveien 51, 3. etasje, 4631 Kristiansand S",2830000,293981,7860,3131841,4650,Leilighet,Andel,2,68 m²,78 m²,3,1952,G - oransje,"Nyhet - Påmeldingsvisning 1/7: Lys og trivelig 4-roms andelsleilighet i toppetasje. Innglasset veranda, p-plass, utsikt",
"Aslakveien 24B, 0753 Oslo",7980000,200842,8180842,3970,0,Leilighet,Eier (Selveier),3,96 m²,101 m²,1,2020,B - mørkegrønn,"Røakollen - Ny gjennomgående 4 - roms. 2 bad, 3 soverom, romslig terrasse og balkong, pluss stor takterasse.",
"Stensgata 30, 0358 Oslo",7000000,8626,7008626,3158,0,Leilighet,Andel,2,65 m²,65 m²,3,2002,D - rød,"Attraktiv og lys 3-roms med garasjeplass, heis, solrik balkong og rolig beliggenhet. Bygg fra 2002. Lave omkostninger.",
