Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler,balkong,utsikt,garasje,heis,parkering,sentrum,toppleilighet,By,Alder,simp_megler,Energimerking_encoded,Aksje,Andel,Selveier
"Betzy Kjelsbergs vei 15, 0486 Oslo",3700000,182094,9126,3700000,3584.0,Andel,1,53.0,53.0,4,1960,D - oransje,Romslig 2-roms oppussingsobjekt - Bad fra 2011 - Balkong m/ utsikt - Heis - Fyring/v.vann inkl. i FK - Markanært,Krogsveen avd. Årvoll,1,1,0,1,0,0,0,Oslo,61,Krogsveen,16.0,0,1,0
"Bøkkerveien 24C, 0579 Oslo",10900000,272500,0,11172500,1135.4166666666667,Selveier,3,98.0,101.0,5,2017,D - mørkegrønn,Lekker topp-/endeleilighet m/ privat takterrasse på 57 kvm + to balkonger - 2 bad - heis - garasje!,Krogsveen avd. Årvoll,1,0,1,1,0,0,0,Oslo,4,Krogsveen,17.0,0,0,1
"Blomhaugane 66D, 5943 Austrheim",2200000,62420,0,2262420,260.0833333333333,Selveier,3,96.0,96.0,2,2017,B - oransje,Nyere toppleilighet i etablert boligfelt i Austrheim,Laastad Stavenes Advokatfellesskap,0,0,0,0,0,0,1,Austrheim,4,Laastad Stavenes Advokatfellesskap,27.0,0,0,1
"Herman Wildenveys gate 22B, 3292 Stavern",1890000,445196,7982,1890000,4588.0,Andel,2,67.0,67.0,2,1968,E - rød,Tiltalende og lettstelt 3-roms andelsleilighet i rolig område - nyere bad og oppusset innvendig - koselig balkong,Leinæs & Partners,1,0,0,0,0,0,0,Stavern,53,Leinæs & Partners,10.0,0,1,0
"Sommerfrydveien 10A, 4842 Arendal",5990000,158742,0,6148742,1320.8333333333333,Selveier,3,136.0,144.0,2,2018,B - oransje,"Lekker og romslig leilighet på BRA 144 kvm. To balkonger, garasje og flott utsikt. Gangavstand til sentrum & båthavn.",Meglerhuset & Partners,1,1,1,0,0,1,0,Arendal,3,Meglerhuset & Partner,27.0,0,0,1
"Cappelens gate 13, 3015 Drammen",3390000,93770,0,3483770,390.7083333333333,Selveier,2,65.0,65.0,0,1880,G - rød,BRAGERNES - 3 - roms selveierleilighet i klassisk bygård med god takhøyde - Supersentral beliggenhet!,Meglerhuset & Partners Drammen,0,0,0,0,0,0,0,Drammen,141,Meglerhuset & Partner,1.0,0,0,1
"Ulstadløkkveien 4, 7067 Trondheim",3290000,536223,5060,3290000,4788.0,Andel,2,72.0,72.0,3,1911,F - rød,NYDELIG 3-ROMS BYGÅRDSLEILIGHET |Mulighet for 3 soverom |Nytt tak 2019 og brannsikret 2017| 4-5 min gange til Solsiden,Meglerhuset Nylander avd Lilleby,0,0,0,0,0,0,0,Trondheim,110,Meglerhuset Nylander,6.0,0,1,0
"PEDER FALCKS VEG 8, 7044 Trondheim",3790000,103320,0,3893320,1116.6666666666667,Selveier,2,63.0,63.0,3,2016,C - mørkegrønn,"LEKKER 3-ROMS SELVEIER I 3. ETG MED SOLRIK VERANDA. Ny 2016, TG1 på alt. P-kjeller og heis. Fjernvarme. Sentralt.",Meglerhuset Nylander avd Lilleby,0,0,0,1,0,1,0,Trondheim,5,Meglerhuset Nylander,22.0,0,0,1
"Bergsligata 7, 7017 Trondheim",4590000,123320,0,4713320,513.8333333333334,Selveier,3,103.0,103.0,1,1912,F - oransje,KLASSISK PEN 4(5)-R BYGÅRDSLEILIGHET I ILA - Gjennomgående pen standard - TG0 på bad&kjøkken - Sentral beliggenhet,Meglerhuset Nylander avd Søndre gt,0,0,0,0,0,0,0,Trondheim,109,Meglerhuset Nylander,7.0,0,0,1
"Karolinerveien 3A, 7021 Trondheim",1850000,15204,13054,1850000,2574.0,Andel,1,32.0,32.0,2,1967,E - rød,PEN 2-R MED ETTERSPURT BELIGGENHET - Gjennomgående fin standard - Perfekt for førstegangskjøpere og studenter,Meglerhuset Nylander avd Søndre gt,0,0,0,0,0,0,0,Trondheim,54,Meglerhuset Nylander,10.0,0,1,0
"Kyavegen 12, 7046 Trondheim",1590000,403847,5060,1590000,3487.0,Andel,1,25.0,25.0,2,2006,G - mørkegrønn,"NYDELIG, LYS OG SENTRAL 2-ROMS. 5-7 min på sykkel inn til Sentrum. Store grøntareal mellom husene. P -plass.",Meglerhuset Nylander avd. Moholt,0,0,0,0,0,1,0,Trondheim,15,Meglerhuset Nylander,3.0,0,1,0
"Fridtjof Øvrebøs gate 24, 5532 Haugesund",2550000,76022,0,2626022,613.5833333333334,Selveier,2,70.0,70.0,6,1990,F - rød,Fin utsiktsleilighet med terrasse og parkering - 2 soverom - Heis,Meglerhuset Rele Haugesund AS,0,1,0,1,1,0,0,Haugesund,31,Meglerhuset Rele Haugesund AS,6.0,0,0,1
"Stadion 17, 1671 Kråkerøy",3400000,1594,0,3400000,601.5833333333334,Selveier,1,41.0,41.0,4,2020,D - oransje,Ny og lekker studioleilighet med rå utsikt langs elva - Dreieværste,Møller & Partners,0,1,0,0,0,0,0,Kråkerøy,1,Møller & Partners,16.0,0,0,1
"Bjønnan 64, Leil. 302, 6412 Molde",3350000,85119,0,3435119,1066.6666666666667,Selveier,2,59.0,59.0,0,2007,C - rød,"Leilighet med 2 soverom i 3. etg. Heis, garasje og flott utsikt.",Møremegling,0,1,1,1,0,0,0,Molde,14,Møremegling,20.0,0,0,1
"Sentervegen 109, 6440 Elnesvågen",3150000,80119,0,3230119,582.9166666666666,Selveier,2,59.0,59.0,2,1972,C - mørkegrønn,PÅMELDINGSVISNING MAN. 28/6 - Sentral 3-roms i 2. etg - Stor sydvendt veranda - Heis - Garasje,Møremegling,0,0,1,1,0,0,0,Elnesvågen,49,Møremegling,22.0,0,0,1
"Elias Kræmmers vei 9C, 3024 Drammen",2350000,222435,11263,2350000,4565.0,Andel,2,66.0,66.0,2,1960,F - oransje,Gjennomgående og lys ende leilighet i 2.etg. Sydvendt beliggenhet. Garasje.,Nbbo Eiendomsmegling,0,0,1,0,0,0,0,Drammen,61,Nbbo Eiendomsmegling,7.0,0,1,0
"Gamlehaugvegen 46, 5230 Paradis",3800000,103820,0,3903820,618.0,Selveier,3,91.0,91.0,2,1950,D - rød,"Stor, romslig og flott 4-roms over 2 plan v/ Nordåsvannet med mulighet for båtplass i attraktivt område - Fast parkering",Nordic Bolig Bergen,0,0,0,0,1,0,0,Paradis,71,Nordic Bolig Bergen,15.0,0,0,1
"Kjenndalsbrotet 35, 5225 Nesttun",3290000,5843,91070,3290000,2000.0,Selveier,2,71.0,79.0,1,2011,D - rød,Innflytningsklar 3-roms eierleilighet med nydelig utsikt og stor terrasse - Elbil lader - Barnevennlig - God planløsning,Nordic Bolig Bergen,0,1,0,0,0,0,0,Nesttun,10,Nordic Bolig Bergen,15.0,0,0,1
