Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fasiliteter,Beskrivelse,Eiendomsmegler
"Trondheimsveien 2F, 0560 Oslo",4 700 000 kr,118 842 kr,4 818 842 kr,2 356 kr,2 356 kr,Leilighet,Eier (Selveier),1,46 m²,46 m²,4,2009,D - mørkegrønn,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""342ef120-de6a-4b54-b7f1-2c0d941eaafa"")>]",Nyere og lys 2-roms med god planløsning | Sydøstvendt balkong | Attraktiv beliggenhet,Samsolgt by DNB Eiendom
"Paal Bergs vei 171A, 1188 Oslo",3 900 000 kr,201 996 kr,11 110 kr,4 113 106 kr,4 113 106 kr,Leilighet,Aksje,2,63 m²,70 m²,2,1955,G - mørkegrønn,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""33f7070a-99cd-470a-9d11-0d24fc899abf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c9e3075b-84e0-450c-abe6-00fd4e9616e5"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e6609037-44af-4dcb-9bff-30558c127a0f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5b73bbb4-5804-4064-9dad-f7a2c275d64e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""323e87d7-826e-4a1b-8238-0cfdbf54fa4d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""cbf1d8a9-039b-4c2c-9c06-b83a297f5dc3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""49207bec-ecda-4fed-9fed-870b27b80c77"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""274029c9-e43b-4b3c-8ac3-cb80005043ff"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""985a1db0-f06a-41e1-a365-c77f4619af1c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7cda4009-251c-4a28-8b04-f78bc0f3398f"")>]",Flott 3-roms beliggende i 2 etg. Solrik og innglasset balkong på 7 kvm. Bad fra 2015. Fyring inkl. Rolig i blindvei.,-1
"Bekkelagsveien 9A, 1160 Oslo",16 900 000 kr,434 070 kr,17 334 070 kr,2 800 kr,2 800 kr,Leilighet,Eier (Selveier),2,115 m²,115 m²,1,2000,E - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""33179fe1-5bf0-4094-a37c-f3ede8caa16f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7c47de9f-117e-43de-8203-ce889e508bdb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""af299d69-50a2-40c8-b4b3-3bae44f993db"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e623783d-0390-4f84-b80e-b122312e1a24"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""8d21717d-5d43-41b5-b627-cfc08629a71e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""9bdc318d-4280-4cd5-8bd9-7981b8c30650"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""0a937e8c-9078-4303-9be8-09fac9a00f6d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""439d37f5-3b0b-44d7-9446-def9c023d231"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e871ea8e-1a2f-4815-8513-2a7c772ef5f6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""972fd985-65b5-4ab5-98d2-607e1370878a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""31a7805e-31e4-497f-a187-8f5385d4140d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ac5b3dee-97f7-4a1f-8270-ca7e8211b219"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5f8769c3-770d-4d94-8526-db5070c4d692"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""859422c3-fba1-4237-b615-7241d995268a"")>]","Rålekker luksusleilighet med panoramautsikt over fjorden og hovedstaden, solfylte uteplasser, heis og to p-plasser.",PrivatMegleren Panorama
"Vogts gate 52A, 0477 Oslo",4 590 000 kr,181 412 kr,120 644 kr,4 892 056 kr,4 892 056 kr,Leilighet,Eier (Selveier),1,48 m²,48 m²,5,1900,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a81ab768-4bd8-4dd6-876e-1d993848446c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""92940721-24b4-4cd3-ab97-a6529329987a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c21c4505-8b50-4fc6-ad7f-870a025fecd3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""60df8871-bd0d-4fd0-86fa-2583d0098e85"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b363d819-1623-4151-a555-fad0d6dc6852"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ad4bfcd4-30d8-4ff0-93d1-98177dbb6a06"")>]",Særegen loftsleilighet m/nydelig takterrasse og hems | Nyere bad | Attraktiv beliggenhet | Nye vinduer i løpet av høsten,EiendomsMegler 1 Torshov
"FREDENSBORGVEIEN 43, 0177 Oslo",5 100 000 kr,128 670 kr,5 228 670 kr,2 612 kr,2 612 kr,Leilighet,Eier (Selveier),1,40 m²,40 m²,5,2009,C - mørkegrønn,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d7015223-53ac-4413-bf34-476494f068be"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""675bb8a7-92bb-42a9-ae36-ae49785508e7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""0b9bb794-80e4-4dcc-b22c-0de9b01566f2"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""74d17474-fcb1-4b89-9fb0-0f3c48110688"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2adc4b49-3138-4b36-82aa-11bc5f88dcef"")>]","Fredensborg, 2-roms med egen takterrasse",Advokatfirmaet Storløkken AS
"Kirkeåsveien 5E, 1178 Oslo",12 900 000 kr,338 170 kr,13 238 170 kr,-1,-1,Enebolig,Eier (Selveier),3,146 m²,168 m²,1987,F - rød,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7dc792b3-2741-4770-8975-14c7714a3118"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""8ffed33c-a710-4d2d-817c-b406e5e6f199"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""22d7f5f4-ed9d-4864-8be3-c6d2a1d3ca04"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""afe0a8bd-7ad9-4d31-ab79-3d6292ae5b11"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1fc15ab9-5566-43b2-8422-c49eaaa5244d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""74023944-2100-4fc8-9da1-4546b7ec08e6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3e667a4a-6433-4ac9-8c74-95823a6441ae"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""06b6a5e6-6bf6-4aa1-97a3-dab4bf967989"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f75eed40-c0b0-467a-abdb-4238a91d1fe7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f2b3443b-f739-47fe-92b2-c83774816140"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""0e2ac2c9-5b4d-4d01-895e-257fc5a4e83a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""6b3cc3bc-25f3-4aa1-968b-76bb8a73ba83"")>]","Enebolig med panorama fjordutsikt og ny, moderne fasade samt stort potensiale innvendig. Dobbel carport, hage & hybeldel",PrivatMegleren Panorama
"Cort Adelers gate 20, 0254 Oslo",5 790 000 kr,54 057 kr,147 442 kr,5 991 499 kr,5 991 499 kr,Leilighet,Eier (Selveier),1,59 m²,59 m²,2,1989,E - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""469111da-c36b-489b-a1f5-db1097660503"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""269b750e-ce84-4c0c-b3f4-2d5c629745cb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""303ef0d2-9dfe-4137-b509-8fe9938b913c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7375ba83-fcbb-490a-ab60-5691f52a1d92"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""29192d47-1fc5-439a-b75f-2bbb24b707b0"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e4422b4a-8307-4476-a839-8747decc083c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2deadd18-6e43-41d2-adba-25f291b52d6d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f768cebb-28bf-4f08-827e-04890064e50f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a81e4b53-3fa4-49b7-b026-2314ec399bbc"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""069af4b2-f000-4451-bb4c-92b956451ebb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""8c0ba268-58ac-4ddd-ae29-7d0d54d4444e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""236def65-9c5a-485d-afab-c20fd9d84740"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d8de1fd2-8a27-4485-b409-6c839cdbe958"")>]","Flott og romslig 2(3)-r med høy standard - Balkong - Heis - Biopeis - Varmtv inkl - Kort avstand til ""alt"" - Nyere bygg",Nordvik Frogner
"Ensjøveien 34, 0661 Oslo",6 150 000 kr,-1,-1,-1,-1,61 - 104 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Ensjølyst - Ensjø - 82 nye selveierleiligheter - Lev med høy bokvalitet på beste Ensjø - Est. innflytting 4. kvartal 2022/ 1. kvartal 2023,Røisland & Co Eiendomsmegling AS
"Skådalsveien 10 E, 0781 Oslo",21 500 000 kr,-1,-1,-1,-1,224 - 237 m²,4,Enebolig,Eier (Selveier),-1,-1,-1,-1,-1,Skådalen - 4 Nye eneboliger med høy standard - 1 solgt,PrivatMegleren Scenario
"Barnehjemsveien 15, 1181 Oslo",5 100 000 kr,114 000 kr,15 504 kr,5 229 504 kr,5 229 504 kr,Leilighet,Andel,2,68 m²,68 m²,2,1949,E - oransje,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b39d019f-e1ab-48bc-8127-14fa65c05a21"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e0bc12f3-a238-4d19-8e88-9bca4d069641"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5c083de6-bfdc-4ce9-8bd1-81953b8e503d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""0641d886-2c76-471d-a3fc-7fb395d7b607"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""8b0953b9-58f5-4354-94aa-6ab18f45d571"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7f775c20-e155-4b18-ac3a-6dcfa781032f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""9075cfc6-75b8-41bb-911c-7d6e5c2197ef"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7a719d79-2139-4fbb-956b-9d9feb679442"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a204470f-8db7-40a2-bf33-8e574a191ff6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""fc531ac5-624a-46d0-a23b-4ed1913610f3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3881df0c-bb6b-406e-a5ba-f0cdd874bbb9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""0d2d6893-7d6b-479e-9db7-080bf917f85e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e5cf3216-9a7d-4904-b363-10a513af684f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""49c065ec-697a-4844-9367-9468a7746cbc"")>]","Lille Ekeberg | Fresh og lekker 3-roms med herlig balkong, peisovn og originale tregulv. Suveren beliggenhet i blindgate",EIE eiendomsmegling Frogner
"Rustadgrenda 33, 0693 Oslo",3 490 000 kr,137 000 kr,9 126 kr,3 636 126 kr,3 636 126 kr,Leilighet,Andel,2,67 m²,72 m²,1,1962,F - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""0673149d-6ac6-4cc4-8d6e-01eb2e013186"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""52eb8d29-0e05-4030-9905-3ce552a4fed6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""bc6ab664-2ca0-4721-a014-e58c52f5f048"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4a831d00-19d0-4ee0-81b9-2599956b11dd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""bd2470cc-9376-4ca2-9d01-ad1c73e0fcc4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5dce0831-3e23-44e6-a371-e9fda04986cf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a1990648-1e30-4d82-89f5-8560ff655ee3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ee04ed08-1a4d-4acb-bcef-5eab08e4383a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""6431e834-7ad6-4e9c-986c-c7065be6b57a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""fac04597-6e4a-4ca1-99e7-5b721802c226"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""eeb77e9d-e745-4502-9bb2-8e2a7cd213c4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2a0485eb-d97b-4e6e-886c-286a8ae11611"")>]",Gjennomgående 3 roms med solrik balkong- God planløsning- Moderniseringsbehov- Attraktivt med nærhet til Østmarka!,Krogsveen avd. Kolbotn
"Svensenga 40, 0882 Oslo",10 300 000 kr,57 000 kr,276 712 kr,10 633 712 kr,10 633 712 kr,Rekkehus,Eier (Selveier),4,120 m²,128 m²,1984,F - oransje,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c75812de-eb99-457a-a529-ea1622342d39"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4548ccfe-fea0-491d-9395-b6a168882d28"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5a1a87e5-7e4d-4b05-8e59-cea31db1f770"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7b9c106b-ae11-4690-873f-33acfeeda770"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""24b94107-c2f5-4aba-b75b-ab571fd9c1e2"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""70698832-5b8f-46a4-8f86-add64ded28ea"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ae9623c1-28e2-4d6d-ba61-e7877169b1fc"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ca71e1fb-1493-4a93-9a94-be7befa90bc7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ed6f2292-fd45-442d-94ce-fadf844b3082"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""19c3da9e-6e2e-4bed-875b-0011e687c7cb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""22e5e3a4-c524-463f-9a4c-72a82662ce48"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ef44f7b2-7107-4269-b742-356132495863"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3bdcbdca-4190-454b-a073-38f4df0c5331"")>]","Tiltalende enderekkehus - Solrike uteplasser - Garasjeplass - Barnevennlig beliggenhet i bilfritt område, rett ved marka",PrivatMegleren Park
"Malerhaugveien 25 - TRINN 3, 0661 Oslo",7 390 000 kr,-1,-1,-1,-1,89.5 m²,93.5 m²,3,4,Leilighet,Eier (Selveier),401,-1,-1,MALERHAUGVEIEN 25 - Ny og lekker 4-roms selveierleilighet med god standard og solrik balkong.,PrivatMegleren Nyeboliger Oslo
"Biskop Jens Nilssønsgate 13 B, 0659 Oslo",4 100 000 kr,150 000 kr,15 554 kr,4 265 554 kr,4 265 554 kr,Leilighet,Andel,1,51 m²,51 m²,2,2004,C - lysegrønn,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""cecc734a-acf7-4eaf-9a0f-def52e3e4f8c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""229c21ed-8255-4271-b5c9-20d443170c6d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f5a9bbf2-8e20-4d48-86d7-410c30b89f62"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""544ec0e0-454d-42c2-91e8-a7ae13ade63e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""8676456c-dfdc-4f00-a589-0f3cc334e8af"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5c12ad37-d618-41a9-95bc-df9521ace8a4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""beab85a2-cd7a-4143-b229-45b8ad443038"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d1607825-c1a1-43c8-8752-9ae70143747e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""bc0055f7-a6e9-4d50-850e-f4a432952361"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""805d524b-b83f-4cd2-8843-0ffcc0649ddc"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""707c6100-5400-4543-bcf6-7663d49f884b"")>]",Meget pen 2-roms | Solrik sydvetvendt balkong | Heis | Idyllisk beliggenhet med utsikt over Etterstad kolonihager,-1
"Toftes gate 20B, 0556 Oslo",5 700 000 kr,1 767 kr,143 862 kr,5 845 629 kr,5 845 629 kr,Leilighet,Eier (Selveier),3,80 m²,80 m²,4,1890,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""162a0925-1918-453e-ab14-1f4bb73aaee3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5b2932f3-df89-4d2d-9eaa-c82a4ffdecf7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2185431e-2921-42aa-83ee-fb22d2542f52"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2a33659f-980a-4c56-836c-0b3719612f39"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c288925f-0dc6-479d-a996-d6fe77bb8a42"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""06520915-38b7-4df6-a0cd-5a635ab0a224"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e759fbfa-d7f0-4c72-bc8a-650a8292083a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2353430c-725d-43ae-9331-c06b55294837"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c8960b9b-ae9e-43ca-8ba1-5232410b6e67"")>]","Stor, gj.gående klassisk 3(4)-roms - Nydelig og lys stue - Stort bad - Stukkatur/rosett - Takhøyde 3 meter - 3 soverom*",Nordvik Grünerløkka
"Torshovgata 15B, 0476 Oslo",3 900 000 kr,103 000 kr,12 620 kr,4 015 620 kr,4 015 620 kr,Leilighet,Aksje,1,52 m²,52 m²,1,1939,E - rød,-1,Gjennomgående 2(3) roms oppussingsobjekt m/ombygningsmuligheter til 2 soverom. Rolig bakgård. Varmt vann & fyring inkl.,Krogsveen avd. Aker Brygge
"Dragonstien 97D, 1062 Oslo",3 000 000 kr,305 000 kr,8 658 kr,3 313 658 kr,3 313 658 kr,Leilighet,Andel,1,62 m²,62 m²,1,1980,E - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b4bc0568-5277-455d-8370-8cb48033acee"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2f5e89c8-d31c-4d81-a6ad-53813456f888"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""22ca1640-dd52-44b3-8f20-6ac6f3154db9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a8b98998-6306-45ed-9502-744f90b66aa5"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5dc5c293-9ae8-4f1c-8156-cc8a49ffc5dd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""af1f53e0-4304-4694-a63d-65758bc6cbeb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""48d089ae-a4c1-4e35-afa9-836a2f024edd"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""6aa1cf40-5409-4af9-b516-72df00bf05d3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""72f9b692-49ac-45fe-9685-a57a3cca171c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""700cee5a-2f57-4a6d-93d9-c1caf12e5593"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""22597ba8-ccbd-464e-896f-718c9700e78a"")>]",Lys og romslig 2-roms m/ terrasse på 16m² | Garasjeplass | Sentral beliggenhet | Markanært | Perfekt førstegangskjøp!,EiendomsMegler 1 Stovner
