Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Faciliteter,Beskrivelse,Eiendomsmegler
"Moldalia 114, 5267 Espeland",2 700 000 kr,76 070 kr,2 776 070 kr,417 kr,10 319 kr per år,Leilighet,Eier (Selveier),2,78 m²,83 m²,1,2007,-1,-1,ESPELAND - Flott og innholdsrik 3-roms eierleilighet med vestvendt terrasse på 55 m². Attraktiv plassering i boligfeltet,-1
1459 Nesodden,4 148 000 kr,-1,-1,-1,-1,66 - 110 m²,2 - 3,2,Leilighet,Eier (Selveier),C - rød,-1,-1,-1,Bomansvik /Bomanshagen 2 - Nye 2-6-roms leiligheter på Bomansvik. Moderne leiligheter med genial planløsning,TRYSILHUS ØST AS
"Lyngåsen 68, 1405 Langhus",3 600 000 kr,221 196 kr,8 009 kr,3 829 205 kr,4 157 kr,Leilighet,Andel,3,84 m²,84 m²,1985,E - oransje,-1,,Gjennomgående 4-roms leilighet med vestvendt balkong | Garasjeplass | God beliggenhet i familievennlig boligområde,Schala & Partners Carl Berner
"Hjeratunet leil. B104, 2072 Dal",2 490 000 kr,66 762 kr,2 556 762 kr,1 680 kr,-1,Leilighet,Eier (Selveier),1,48 m²,48 m²,1,2021,-1,,Salg av kontraktsposisjon. 2-roms selveier med garasjeplass på Hjeratunet - estimert overtagelse 1-15 juli 2021.,PrivatMegleren Strømmen
"Mosseveien 69, 1610 Fredrikstad",3 450 000 kr,87 670 kr,3 537 670 kr,2 241 kr,-1,Leilighet,Eier (Selveier),1,49 m²,52 m²,2,2021,-1,,Ny 2-roms leilighet i 2. etasje med høy standard - oppgradert standard med bl.a 1 stavs eike parkett - Garasjeplass,EiendomsMegler 1 Fredrikstad
"Blystadringen 10B, 2014 Blystadlia",3 325 000 kr,214 642 kr,15 504 kr,3 555 146 kr,4 557 kr,Leilighet,Andel,3,83 m²,83 m²,4,1978,F - rød,,Pen 4-roms toppleilighet med flott utsikt og ingen innsyn! Nærhet til marka. Attraktivt og barnevennlig. Garasje.,EIE eiendomsmegling Lillestrøm
"Storgata 16C, 2609 Lillehammer",2 490 000 kr,63 592 kr,2 553 592 kr,544 kr,12 343 kr per år,Leilighet,Eier (Selveier),1,41 m²,41 m²,2015,E - mørkegrønn,-1,,Flott 2-roms eierleilighet fra 2015 i sentrum med garasjeplass.,-1
"Kloppedalsvegen 19, 5232 Paradis",3 190 000 kr,87 992 kr,3 277 992 kr,1 100 kr,10 836 kr per år,Leilighet,Eier (Selveier),2,71 m²,71 m²,1,1939,-1,,"Innholdsrik 3-roms selveier med solrik veranda, stor felles hage og egen privat garasje.",PROAKTIV PROSJEKTMEGLING AS
"Nils Huus' gate 18, 0482 Oslo",3 190 000 kr,2 011 kr,81 124 kr,3 273 135 kr,1 796 kr,Leilighet,Eier (Selveier),1,33 m²,33 m²,4,1965,E - rød,,Pen og arealeffektiv 2-roms. Heis. Perfekt førstegangskjøp. Godt utleieobjekt. Lave fk. Balkong vedtatt. Sentralt.,EiendomsMegler 1 Sinsen
"Lyetoppen B7, 4347 Lye",2 510 000 kr,-1,-1,-1,-1,63 m²,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Lyetoppen - Tepperotvegen 10 og 12 - 8 leiligheter med flott utsikt - SI Bygg AS,EiendomsMegler 1 Jærmegleren
